temp ,rH,smoke(ppm),density_index,class,,,
41.28,21.46,118.72,3,Fire,,,
41.4,21.6,132.76,3,Fire,,,
41.52,21.74,127.72,3,Fire,,,
41.64,21.88,131.04,3,Fire,,,
41.76,22.02,103.88,3,Fire,,,
41.88,22.16,117.64,3,Fire,,,
42,22.3,148.96,3,Fire,,,
42.12,22.44,133.84,3,Fire,,,
42.24,22.58,140.32,3,Fire,,,
42.36,22.72,121.24,3,Fire,,,
42.48,22.86,129.88,3,Fire,,,
42.6,23,108.92,3,Fire,,,
42.72,23.14,143.92,3,Fire,,,
42.84,23.28,110.72,3,Fire,,,
42.96,23.42,124.48,3,Fire,,,
43.08,23.56,109,3,Fire,,,
43.2,23.7,145,3,Fire,,,
43.32,23.84,138.88,3,Fire,,,
43.44,23.98,109.36,3,Fire,,,
43.56,20.06,121.88,3,Fire,,,
43.68,20.2,122.32,3,Fire,,,
43.8,20.34,114.68,3,Fire,,,
43.92,20.48,124.84,3,Fire,,,
44.04,20.62,138.88,3,Fire,,,
44.16,20.76,124.12,3,Fire,,,
44.28,20.9,139.24,3,Fire,,,
44.4,21.04,131.32,3,Fire,,,
44.52,21.18,126.64,3,Fire,,,
44.64,21.32,125.92,3,Fire,,,
44.76,21.46,136.72,3,Fire,,,
44.88,21.6,139.96,3,Fire,,,
45,21.74,121.6,3,Fire,,,
45.12,21.88,147.16,3,Fire,,,
45.24,22.02,143.2,3,Fire,,,
45.36,22.16,144.28,3,Fire,,,
45.48,22.3,106.4,3,Fire,,,
45.6,22.44,139.96,3,Fire,,,
45.72,22.58,147.88,3,Fire,,,
45.84,22.72,118.72,3,Fire,,,
45.96,22.86,123.04,3,Fire,,,
46.08,23,110.36,3,Fire,,,
46.2,23.14,107.92,3,Fire,,,
46.32,23.28,135.64,3,Fire,,,
46.44,23.42,142.48,3,Fire,,,
46.56,23.56,119.8,3,Fire,,,
46.68,23.7,126.64,3,Fire,,,
46.8,23.84,134.92,3,Fire,,,
46.92,23.98,134.2,3,Fire,,,
47.04,20.08,116.56,3,Fire,,,
47.16,20.22,117.28,3,Fire,,,
47.28,20.36,113.32,3,Fire,,,
47.4,20.5,137.44,3,Fire,,,
47.52,20.64,133.12,3,Fire,,,
47.64,20.78,108.28,3,Fire,,,
47.76,20.92,143.56,3,Fire,,,
47.88,21.06,131.04,3,Fire,,,
48,21.2,105.04,3,Fire,,,
48.12,21.34,112.52,3,Fire,,,
48.24,21.48,106.84,3,Fire,,,
48.36,21.62,132.76,3,Fire,,,
48.48,21.76,140.32,3,Fire,,,
48.6,21.9,120.52,3,Fire,,,
48.72,22.04,128.08,3,Fire,,,
48.84,22.18,123.4,3,Fire,,,
48.96,22.32,110.72,3,Fire,,,
49.08,22.46,145,3,Fire,,,
49.2,22.6,146.08,3,Fire,,,
49.32,22.74,139.24,3,Fire,,,
49.44,22.88,129.88,3,Fire,,,
49.56,23.02,124.48,3,Fire,,,
49.68,23.16,112.32,3,Fire,,,
49.8,23.3,113.68,3,Fire,,,
27.12,50.32,118.88,3,Fire,,,
27.57,50.59,112.08,3,Fire,,,
28.03,50.86,100.6,3,Fire,,,
28.48,51.13,100.9,3,Fire,,,
28.93,51.41,101.2,3,Fire,,,
29.38,51.68,101.5,3,Fire,,,
29.84,51.95,101.8,3,Fire,,,
30.29,52.22,102.1,3,Fire,,,
30.74,52.49,102.4,3,Fire,,,
31.19,52.76,102.7,3,Fire,,,
31.65,53.03,103,3,Fire,,,
32.1,53.3,103.3,3,Fire,,,
32.55,53.57,103.6,3,Fire,,,
33,53.84,103.9,3,Fire,,,
33.46,54.11,104.2,3,Fire,,,
33.91,54.38,104.5,3,Fire,,,
34.36,54.65,104.8,3,Fire,,,
34.81,54.92,105.1,3,Fire,,,
35.27,55.19,105.4,3,Fire,,,
35.72,55.46,105.7,3,Fire,,,
36.17,55.73,106,3,Fire,,,
36.62,56,106.3,3,Fire,,,
37.08,56.27,106.6,3,Fire,,,
37.53,56.54,106.9,3,Fire,,,
37.98,56.81,107.2,3,Fire,,,
38.43,57.08,107.5,3,Fire,,,
38.89,57.35,107.8,3,Fire,,,
39.34,57.62,108.1,3,Fire,,,
39.79,57.89,108.4,3,Fire,,,
40.24,58.16,108.7,3,Fire,,,
40.7,58.43,109,3,Fire,,,
41.15,58.7,109.3,3,Fire,,,
41.6,58.97,109.6,3,Fire,,,
42.05,59.24,109.9,3,Fire,,,
42.51,59.51,110.2,3,Fire,,,
42.96,59.78,110.5,3,Fire,,,
43.41,60.05,110.8,3,Fire,,,
43.86,60.32,111.1,3,Fire,,,
44.32,60.59,111.4,3,Fire,,,
44.77,60.86,111.7,3,Fire,,,
45.22,61.13,112,3,Fire,,,
27.46,61.4,112.3,3,Fire,,,
27.91,61.67,112.6,3,Fire,,,
28.36,62.94,112.9,3,Fire,,,
28.81,63.21,113.2,3,Fire,,,
29.27,63.48,113.5,3,Fire,,,
29.72,63.75,113.8,3,Fire,,,
30.17,64.02,114.1,3,Fire,,,
30.62,64.29,114.4,3,Fire,,,
31.07,64.56,114.7,3,Fire,,,
31.53,64.83,115,3,Fire,,,
31.98,65.1,115.3,3,Fire,,,
32.43,65.37,115.6,3,Fire,,,
32.88,65.64,115.9,3,Fire,,,
33.34,65.91,116.2,3,Fire,,,
33.79,50.16,116.5,3,Fire,,,
34.24,50.27,116.8,3,Fire,,,
34.69,50.38,117.1,3,Fire,,,
35.14,50.49,117.4,3,Fire,,,
35.6,50.6,117.7,3,Fire,,,
36.05,50.71,118,3,Fire,,,
36.5,50.82,118.3,3,Fire,,,
36.95,50.93,118.6,3,Fire,,,
37.41,51.04,118.9,3,Fire,,,
37.86,51.15,119.2,3,Fire,,,
38.31,51.26,119.5,3,Fire,,,
38.76,51.37,119.8,3,Fire,,,
39.22,51.48,120.1,3,Fire,,,
39.67,51.59,120.4,3,Fire,,,
40.12,51.7,120.7,3,Fire,,,
40.57,51.81,121,3,Fire,,,
41.02,51.92,121.3,3,Fire,,,
41.48,52.03,121.6,3,Fire,,,
41.93,52.14,121.9,3,Fire,,,
42.38,52.25,122.2,3,Fire,,,
42.83,52.36,122.5,3,Fire,,,
43.29,52.47,122.8,3,Fire,,,
43.74,52.58,123.1,3,Fire,,,
44.19,52.69,123.4,3,Fire,,,
44.64,52.8,123.7,3,Fire,,,
45.09,52.91,124,3,Fire,,,
45.46,53.02,124.3,3,Fire,,,
45.91,53.13,124.6,3,Fire,,,
27.34,53.24,124.9,3,Fire,,,
27.79,53.35,125.2,3,Fire,,,
28.24,53.46,125.5,3,Fire,,,
28.69,53.57,125.8,3,Fire,,,
29.14,53.68,126.1,3,Fire,,,
29.59,53.79,126.4,3,Fire,,,
30.05,53.9,126.7,3,Fire,,,
30.5,54.01,127,3,Fire,,,
30.95,54.12,127.3,3,Fire,,,
31.4,54.23,127.6,3,Fire,,,
31.86,54.34,127.9,3,Fire,,,
32.31,54.45,128.2,3,Fire,,,
32.76,54.56,128.5,3,Fire,,,
33.21,54.67,128.8,3,Fire,,,
33.66,54.78,129.1,3,Fire,,,
34.12,54.89,129.4,3,Fire,,,
34.57,55,129.7,3,Fire,,,
35.02,55.11,130,3,Fire,,,
35.47,55.22,130.3,3,Fire,,,
35.92,55.33,130.6,3,Fire,,,
36.38,55.44,130.9,3,Fire,,,
36.83,55.55,131.2,3,Fire,,,
37.28,55.66,131.5,3,Fire,,,
37.73,55.77,131.8,3,Fire,,,
38.18,55.88,132.1,3,Fire,,,
38.64,55.99,132.4,3,Fire,,,
39.09,56.1,132.7,3,Fire,,,
39.54,56.21,133,3,Fire,,,
39.99,56.32,133.3,3,Fire,,,
40.44,56.43,133.6,3,Fire,,,
40.9,56.54,133.9,3,Fire,,,
41.35,56.65,134.2,3,Fire,,,
41.8,56.76,134.5,3,Fire,,,
42.25,56.87,134.8,3,Fire,,,
42.7,56.98,135.1,3,Fire,,,
43.16,57.09,135.4,3,Fire,,,
43.61,57.2,135.7,3,Fire,,,
44.06,57.31,136,3,Fire,,,
44.51,57.42,136.3,3,Fire,,,
44.96,57.53,136.6,3,Fire,,,
45.41,57.64,136.9,3,Fire,,,
27.84,57.75,137.2,3,Fire,,,
28.29,57.86,137.5,3,Fire,,,
28.74,57.97,137.8,3,Fire,,,
29.19,58.08,138.1,3,Fire,,,
29.65,58.19,138.4,3,Fire,,,
30.1,58.3,138.7,3,Fire,,,
30.55,58.41,139,3,Fire,,,
31,58.52,139.3,3,Fire,,,
31.45,58.63,139.6,3,Fire,,,
31.91,58.74,139.9,3,Fire,,,
32.36,58.85,140.2,3,Fire,,,
32.81,58.96,140.5,3,Fire,,,
33.26,59.07,140.8,3,Fire,,,
33.71,59.18,141.1,3,Fire,,,
34.17,59.29,141.4,3,Fire,,,
34.62,59.4,141.7,3,Fire,,,
35.07,59.51,142,3,Fire,,,
35.52,59.62,142.3,3,Fire,,,
35.97,59.73,142.6,3,Fire,,,
36.43,59.84,142.9,3,Fire,,,
36.88,59.95,143.2,3,Fire,,,
37.33,60.06,143.5,3,Fire,,,
37.78,60.17,143.8,3,Fire,,,
38.23,60.28,144.1,3,Fire,,,
38.69,60.39,144.4,3,Fire,,,
39.14,60.5,144.7,3,Fire,,,
39.59,60.61,145,3,Fire,,,
40.04,60.72,145.3,3,Fire,,,
40.49,60.83,145.6,3,Fire,,,
40.95,60.94,145.9,3,Fire,,,
41.4,61.05,146.2,3,Fire,,,
41.85,61.16,146.5,3,Fire,,,
42.3,61.27,146.8,3,Fire,,,
42.75,61.38,147.1,3,Fire,,,
43.21,61.49,147.4,3,Fire,,,
43.66,61.6,147.7,3,Fire,,,
44.11,61.71,148,3,Fire,,,
44.56,61.82,148.3,3,Fire,,,
45.01,61.93,148.6,3,Fire,,,
38.56,62.04,148.9,3,Fire,,,
34.95,62.15,149.2,3,Fire,,,
44.32,62.26,149.5,3,Fire,,,
42.23,62.37,149.8,3,Fire,,,
27.36,40.23,35.19,1,No fire,,,
27.73,40.42,35.37,1,No fire,,,
28.09,40.61,35.56,1,No fire,,,
28.45,40.79,35.75,1,No fire,,,
28.82,40.98,35.93,1,No fire,,,
29.18,41.17,36.12,1,No fire,,,
29.55,41.35,36.31,1,No fire,,,
29.91,41.54,36.49,1,No fire,,,
30.27,41.73,36.68,1,No fire,,,
30.64,41.91,36.87,1,No fire,,,
31,42.1,37.05,1,No fire,,,
31.37,42.29,37.24,1,No fire,,,
31.73,42.47,37.43,1,No fire,,,
32.09,42.66,37.61,1,No fire,,,
32.46,42.85,37.8,1,No fire,,,
32.82,43.03,37.99,1,No fire,,,
33.19,43.22,38.17,1,No fire,,,
33.55,43.41,38.36,1,No fire,,,
33.91,43.59,38.55,1,No fire,,,
34.28,43.78,38.73,1,No fire,,,
34.64,43.97,38.92,1,No fire,,,
35.01,44.15,39.11,1,No fire,,,
35.37,44.34,39.29,1,No fire,,,
35.73,44.53,39.48,1,No fire,,,
36.1,44.71,39.67,1,No fire,,,
36.46,44.9,39.85,1,No fire,,,
36.83,45.09,40.04,1,No fire,,,
37.19,45.27,40.23,1,No fire,,,
37.55,45.46,40.41,1,No fire,,,
37.92,45.65,40.6,1,No fire,,,
38.28,45.83,36.23,1,No fire,,,
38.65,46.02,36.42,1,No fire,,,
39.01,46.21,36.61,1,No fire,,,
39.37,46.39,36.79,1,No fire,,,
39.74,46.58,36.98,1,No fire,,,
40.1,46.77,37.17,1,No fire,,,
40.47,46.95,37.35,1,No fire,,,
40.83,47.14,37.54,1,No fire,,,
41.19,47.33,37.73,1,No fire,,,
41.56,47.51,37.91,1,No fire,,,
41.92,47.7,38.1,1,No fire,,,
42.29,47.89,38.29,1,No fire,,,
42.65,48.07,38.47,1,No fire,,,
43.01,48.26,38.66,1,No fire,,,
43.38,48.45,38.85,1,No fire,,,
43.74,48.63,39.03,1,No fire,,,
44.11,48.82,39.22,1,No fire,,,
44.47,49.01,39.41,1,No fire,,,
44.83,49.19,39.59,1,No fire,,,
45.2,49.38,39.78,1,No fire,,,
40.38,49.57,39.97,1,No fire,,,
40.56,49.75,40.15,1,No fire,,,
40.75,49.94,40.34,1,No fire,,,
40.94,50.13,40.53,1,No fire,,,
41.12,50.31,40.71,1,No fire,,,
41.31,50.5,40.9,1,No fire,,,
41.5,50.69,41.09,1,No fire,,,
41.68,50.87,41.27,1,No fire,,,
41.87,45.94,41.46,1,No fire,,,
42.06,46.13,41.65,1,No fire,,,
42.24,46.31,41.83,1,No fire,,,
42.43,46.5,42.02,1,No fire,,,
42.62,46.69,42.21,1,No fire,,,
42.8,46.87,42.39,1,No fire,,,
42.99,47.06,42.58,1,No fire,,,
43.18,47.25,42.77,1,No fire,,,
43.36,47.43,42.95,1,No fire,,,
43.55,47.62,43.14,1,No fire,,,
43.74,47.81,43.33,1,No fire,,,
43.92,47.99,43.51,1,No fire,,,
44.11,48.18,43.7,1,No fire,,,
44.3,48.37,43.89,1,No fire,,,
44.48,48.55,44.07,1,No fire,,,
44.67,48.74,44.26,1,No fire,,,
44.86,48.93,44.45,1,No fire,,,
45.04,49.11,44.63,1,No fire,,,
27.39,49.3,44.82,1,No fire,,,
27.58,49.49,45.01,1,No fire,,,
27.76,49.67,45.19,1,No fire,,,
27.95,49.86,45.38,1,No fire,,,
28.14,50.05,45.57,1,No fire,,,
28.32,50.23,45.75,1,No fire,,,
28.51,50.42,45.94,1,No fire,,,
28.7,50.61,46.13,1,No fire,,,
28.88,50.79,46.31,1,No fire,,,
29.07,50.98,46.5,1,No fire,,,
29.26,48.74,46.69,1,No fire,,,
29.44,48.93,46.87,1,No fire,,,
29.63,49.11,47.06,1,No fire,,,
29.82,49.3,47.25,1,No fire,,,
30,49.49,47.43,1,No fire,,,
30.19,49.67,47.62,1,No fire,,,
30.38,49.86,47.81,1,No fire,,,
30.56,50.05,47.99,1,No fire,,,
30.75,50.23,48.18,1,No fire,,,
30.94,50.42,48.37,1,No fire,,,
31.12,50.61,48.55,1,No fire,,,
31.31,50.79,48.74,1,No fire,,,
31.5,50.98,48.93,1,No fire,,,
31.68,49.51,49.11,1,No fire,,,
31.87,49.22,49.3,1,No fire,,,
32.06,49.11,49.49,1,No fire,,,
32.24,49.56,49.67,1,No fire,,,
32.45,49.81,49.86,1,No fire,,,
33.42,49.93,45.86,1,No fire,,,
33.16,49.76,49.12,1,No fire,,,
33.2,49.69,49.35,1,No fire,,,
33.21,49.56,50.21,2,Potential fire,,,
,,,,,,,
,,,,,,,
,,,,,,,
