temp ,rH,smoke(ppm),density_index,class,,,
32.32,22.616,0.0000,1,No fire,,,
33.65,19.741,0.0000,1,No fire,,,
32.74,18.273,0.0000,1,No fire,,,
31.82,19.480,0.0000,1,No fire,,,
31.93,19.315,0.0000,1,No fire,,,
31.66,18.680,0.0000,1,No fire,,,
31.76,18.436,0.0000,1,No fire,,,
33.44,17.764,0.0000,1,No fire,,,
33.56,16.731,0.0000,1,No fire,,,
35.28,16.113,0.0000,1,No fire,,,
37.32,15.177,0.0000,1,No fire,,,
37.60,14.531,0.0000,1,No fire,,,
37.39,14.980,0.0000,1,No fire,,,
37.32,15.177,0.0000,1,No fire,,,
37.60,14.531,0.0000,1,No fire,,,
37.39,14.980,0.0000,1,No fire,,,
37.87,13.943,0.0000,1,No fire,,,
37.38,13.657,0.0000,1,No fire,,,
38.21,13.361,0.0000,1,No fire,,,
37.33,13.250,0.0000,1,No fire,,,
37.88,12.589,0.0000,1,No fire,,,
37.46,12.696,0.0000,1,No fire,,,
36.32,15.635,0.0000,1,No fire,,,
27.60,53.908,110.2445,3,Fire,,,
28.13,39.172,27.2380,1,No fire,,,
27.28,43.815,14.8916,1,No fire,,,
27.30,45.456,17.0974,1,No fire,,,
26.84,44.392,17.818302,1,No fire,,,
27.23,37.667,97.067436,2,Potential fire,,,
28.27,40.37,95.054962,2,Potential fire,,,
29.66,43.1,103.942963,3,Fire,,,
30.73,38.307,126.676949,3,Fire,,,
30.89,35.781,159.180176,3,Fire,,,
31.2,32.646,163.25473,3,Fire,,,
31.51,28.715,162.202972,3,Fire,,,
31.76,25.963,152.995956,3,Fire,,,
32.6,24.152,142.407593,3,Fire,,,
32.39,23.162,131.08171,3,Fire,,,
32.63,22.207,123.592461,3,Fire,,,
32.95,21.757,117.968399,3,Fire,,,
33.24,21.263,113.309059,3,Fire,,,
33.52,20.584,108.983116,3,Fire,,,
34.92,20.346,105.290512,3,Fire,,,
34.22,21.335,95.815948,2,Potential fire,,,
33.61,25.669,91.130165,2,Potential fire,,,
33.1,30.52,88.39505,2,Potential fire,,,
32.47,33.978,86.132973,2,Potential fire,,,
32.2,37.467,84.975868,2,Potential fire,,,
31.64,39.994,82.907005,2,Potential fire,,,
31.32,42.727,81.393532,2,Potential fire,,,
30.94,41.491,79.848907,2,Potential fire,,,
30.56,25.473,84.096191,2,Potential fire,,,
30.18,19.863,77.309349,2,Potential fire,,,
29.87,17.846,76.006546,2,Potential fire,,,
29.57,16.851,72.646828,2,Potential fire,,,
29.29,16.286,71.608803,2,Potential fire,,,
29.3,16.1,69.846092,2,Potential fire,,,
28.78,15.877,68.768188,2,Potential fire,,,
28.55,15.809,69.846092,2,Potential fire,,,
28.32,15.712,68.768188,2,Potential fire,,,
28.13,15.698,67.674522,2,Potential fire,,,
27.91,15.812,63.521679,2,Potential fire,,,
27.71,15.891,63.521679,2,Potential fire,,,
27.54,15.854,63.132454,2,Potential fire,,,
27.37,15.915,62.741188,2,Potential fire,,,
27.22,15.948,62.347862,2,Potential fire,,,
27.3,16.147,61.155296,2,Potential fire,,,
26.9,16.11,63.521679,2,Potential fire,,,
26.75,16.51,61.554943,2,Potential fire,,,
26.63,16.192,61.952454,2,Potential fire,,,
